Helichrysum stoechas,Piptatherum miliaceum,Hyparrhenia sinaica,Reichardia tingitana,Dittrichia viscosa,Sonchus tenerrimus,Linum strictum,Plantago crassifolia,Leontodon longirostris,Phagnalon saxatile,Paronychia suffruticosa,Limonium carthaginense,Fagonia cretica,Atriplex halimus,Lygeum spartum,Pinus halepensis
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,True,True,True,False,False,True,False,False,False,True,False,False
True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False
True,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False
True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,True,True,False,False,False,False,True,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,False,False,False,True,True,False,True,False,False,True,False
True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,True,True,False,False,False,True,False,False,False,True,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False
True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False
True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True
True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True
True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False
True,True,False,True,False,True,False,True,True,True,False,False,False,True,False,False
False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False
True,True,False,True,False,True,True,True,True,True,False,False,False,True,False,False
True,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
False,True,False,True,False,True,False,True,True,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
True,False,False,True,True,False,False,True,True,True,False,False,False,True,False,False
False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False
False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,False
False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False
False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False
False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False
False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False
False,True,False,True,False,False,False,True,True,True,False,False,False,True,False,False
False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False
False,True,False,True,False,False,True,True,True,True,False,False,False,False,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False
False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False
True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,False
False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False
False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False
False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False
False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
True,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True
False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True
True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,True
True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True
False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,True
True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True
True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
