Helichrysum stoechas,Piptatherum miliaceum,Hyparrhenia sinaica,Reichardia tingitana,Dittrichia viscosa,Sonchus tenerrimus,Linum strictum,Pinus halepensis,Leontodon longirostris,Phagnalon saxatile,Plantago crassifolia,Fagonia cretica,Atriplex halimus,Paronychia suffruticosa,Limonium carthaginense,Lygeum spartum
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,True,True,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
True,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False
True,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False
True,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False
False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,True,True,True,False,True,False,False,True,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True
True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,True,False,False,False,True,True,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,True,True,False,False,False,False,False,False,True,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True
True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,True,False,True,False,True,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,True,False,True,True,False,True,True,False,False,False,False,False,False
True,True,True,True,False,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False
True,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
True,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False
True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True
True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True
True,True,False,True,True,True,False,False,True,True,True,False,True,False,False,False
True,True,False,True,False,True,False,False,True,True,True,False,True,False,False,False
False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False
True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False
True,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False
False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False
True,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
True,False,False,True,True,True,False,False,True,True,True,False,True,False,False,False
False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,False
False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
True,False,False,True,True,True,False,False,True,True,True,False,True,False,False,False
False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False
False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,False
True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,False
False,True,False,True,False,False,False,False,True,True,True,False,True,False,False,False
False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False
True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False
False,True,False,False,False,True,True,False,True,True,False,False,False,False,False,False
False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False
False,True,False,True,False,False,True,False,True,True,True,False,False,False,False,False
False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False
False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False
False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False
True,True,False,True,True,False,False,False,True,False,True,False,False,False,False,False
False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False
False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,True,True,False,True,False,False,False,False,False,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False
True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True
False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True
False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True
True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True
True,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True
True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False
False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False
False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
True,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True
False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False
False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False
True,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False
True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False
False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
